model,dataset,horizon,seed,seq_len,validation_mse,validation_mae,test_mse,test_mae,result_source
TimeRole,ETTm2,192,2021,336,0.1616830469834837,0.2776145029683509,0.22510570287704468,0.2954224646091461,reused_protocol_matched_timerole_record
TimeRole,ETTm2,192,2022,336,0.1621488589341838,0.27679804516085954,0.22604960203170776,0.2954574227333069,reused_protocol_matched_timerole_record
TimeRole,ETTm2,192,2023,336,0.16810182122207035,0.28369089118914514,0.24109826982021332,0.3089996576309204,reused_protocol_matched_timerole_record
TimeRole,ETTm2,336,2021,336,0.21440705809129573,0.3208749137249369,0.2914232611656189,0.3407357335090637,reused_protocol_matched_timerole_record
TimeRole,ETTm2,336,2022,336,0.2081380847196144,0.3162799386184472,0.28249654173851013,0.3350311517715454,reused_protocol_matched_timerole_record
TimeRole,ETTm2,336,2023,336,0.20535111818780546,0.3119037748413025,0.2816605865955353,0.3316524922847748,reused_protocol_matched_timerole_record
TimeRole,ETTm2,720,2021,336,0.2786508198134717,0.35967733572065547,0.37522217631340027,0.38984760642051697,reused_protocol_matched_timerole_record
TimeRole,ETTm2,720,2022,336,0.27418926291816886,0.3611049248504557,0.3763110339641571,0.39477506279945374,reused_protocol_matched_timerole_record
TimeRole,ETTm2,720,2023,336,0.2757137088150366,0.35866450536970096,0.3748840391635895,0.39040958881378174,reused_protocol_matched_timerole_record
TimeRole,weather,96,2021,336,0.38365025392422214,0.2691728420709505,0.1462111473083496,0.1966434121131897,reused_protocol_matched_timerole_record
TimeRole,weather,96,2022,336,0.38120108809850306,0.2671191081440565,0.14666816592216492,0.19755423069000244,new_table2_protocol_matched_run
TimeRole,weather,96,2023,336,0.3817056838618348,0.2655237111262077,0.14554478228092194,0.19540339708328247,new_table2_protocol_matched_run
TimeRole,weather,192,2021,336,0.4499114554469259,0.31155879198507336,0.1877095252275467,0.23579229414463043,reused_protocol_matched_timerole_record
TimeRole,weather,192,2022,336,0.45209606623932513,0.3132430722262179,0.1884407252073288,0.2366107553243637,new_table2_protocol_matched_run
TimeRole,weather,192,2023,336,0.4497052209506648,0.3141152133300914,0.18798694014549255,0.23815220594406128,new_table2_protocol_matched_run
TimeRole,weather,336,2021,336,0.5303996194792506,0.36951107262853533,0.24200038611888885,0.278119295835495,reused_protocol_matched_timerole_record
TimeRole,weather,336,2022,336,0.5295542388080908,0.3680554660922384,0.24132373929023743,0.2772045433521271,new_table2_protocol_matched_run
TimeRole,weather,336,2023,336,0.5304796906064805,0.3683636991351178,0.2413971871137619,0.2775312066078186,new_table2_protocol_matched_run
TimeRole,weather,720,2021,336,0.6444935399453787,0.4406900181635795,0.31817513704299927,0.33138200640678406,reused_protocol_matched_timerole_record
TimeRole,weather,720,2022,336,0.6443018633607112,0.4404330289044307,0.3172840178012848,0.33122390508651733,new_table2_protocol_matched_run
TimeRole,weather,720,2023,336,0.6446775655478177,0.44132212348318484,0.3176456391811371,0.33174440264701843,new_table2_protocol_matched_run
