panel,dataset,horizon,setting,test_mse,test_mae,parameter_count,seed_count,baseline_mse,baseline_mae,baseline_parameter_count,mse_change_pct,mae_change_pct,parameter_change_pct
recent_window,ETTm2,96,48,0.17140194142060616,0.26280175246376203,555597.0,3,0.175459243027235,0.2638671479644675,1004013.0,-2.3123897815967798,-0.40376208593003726,-44.662369909552964
recent_window,ETTm1,96,96,0.2980809865980488,0.35206386011996865,1004013.0,3,0.2980809865980488,0.35206386011996865,1004013.0,0.0,0.0,0.0
recent_window,ETTm2,96,96,0.175459243027235,0.2638671479644675,1004013.0,3,0.175459243027235,0.2638671479644675,1004013.0,0.0,0.0,0.0
recent_window,ETTm1,96,192,0.2924188488841715,0.34454141871677674,1900845.0,3,0.2980809865980488,0.35206386011996865,1004013.0,-1.8995299829413392,-2.1366695805211555,89.32473981910593
recent_window,ETTm2,96,192,0.17807738727927183,0.2648663901441364,1900845.0,3,0.175459243027235,0.2638671479644675,1004013.0,1.4921666176517245,0.3786913935202918,89.32473981910593
recent_window,ETTm1,720,48,0.4374880383485024,0.4330072483687501,3482157.0,3,0.4285775581438897,0.428472593087392,6835917.0,2.0790823120097057,1.0583303003544042,-49.06086484081068
recent_window,ETTm2,720,48,0.38603516561431556,0.40113262869869565,3482157.0,3,0.37535094167338007,0.3918036578740014,6835917.0,2.8464625380459463,2.3810320902349247,-49.06086484081068
recent_window,ETTm1,720,96,0.4285775581438897,0.428472593087392,6835917.0,3,0.4285775581438897,0.428472593087392,6835917.0,0.0,0.0,0.0
recent_window,ETTm2,720,96,0.37535094167338007,0.3918036578740014,6835917.0,3,0.37535094167338007,0.3918036578740014,6835917.0,0.0,0.0,0.0
recent_window,ETTm1,720,192,0.43262957835527743,0.4301087874050998,13543437.0,3,0.4285775581438897,0.428472593087392,6835917.0,0.9454578604013886,0.3818667387610608,98.12172968162136
recent_window,ETTm2,720,192,0.38725848741696406,0.39833863461712676,13543437.0,3,0.37535094167338007,0.3918036578740014,6835917.0,3.1723766804734987,1.6679213202309917,98.12172968162136
total_history,ETTm1,96,192,0.30449898993508123,0.35426320824790875,1003725.0,3,0.2980809865980488,0.35206386011996865,1004013.0,2.153107251247399,0.6247014752353897,-0.028684887546281956
total_history,ETTm2,96,192,0.1728751028062304,0.258456389406085,1003725.0,3,0.175459243027235,0.2638671479644675,1004013.0,-1.4727866007056112,-2.050561655788652,-0.028684887546281956
total_history,weather,96,192,0.15384340303647856,0.20264391471927712,1004775.0,3,0.14614128419496852,0.1965337415883742,1005063.0,5.270323771915519,3.1089690154580296,-0.028654920139337126
total_history,ETTm1,96,336,0.2980809865980488,0.35206386011996865,1004013.0,3,0.2980809865980488,0.35206386011996865,1004013.0,0.0,0.0,0.0
total_history,ETTm2,96,336,0.175459243027235,0.2638671479644675,1004013.0,3,0.175459243027235,0.2638671479644675,1004013.0,0.0,0.0,0.0
total_history,weather,96,336,0.14614128419496852,0.1965337415883742,1005063.0,3,0.14614128419496852,0.1965337415883742,1005063.0,0.0,0.0,0.0
total_history,ETTm1,96,720,0.30043750227191185,0.35527660835597086,1004781.0,3,0.2980809865980488,0.35206386011996865,1004013.0,0.7905622229574361,0.9125470120413537,0.07649303345673708
total_history,ETTm2,96,720,0.17334213121424843,0.26151350404739976,1004781.0,3,0.175459243027235,0.2638671479644675,1004013.0,-1.2066117329925685,-0.8919806558809085,0.07649303345673708
total_history,weather,96,720,0.14351133238593608,0.19564263205550395,1005831.0,3,0.14614128419496852,0.1965337415883742,1005063.0,-1.7995953871075887,-0.4534129995533376,0.07641312037156567
total_history,ETTm1,96,960,0.3030872909096338,0.35597610523716366,1005261.0,3,0.2980809865980488,0.35206386011996865,1004013.0,1.6795114538237232,1.1112316713967507,0.1243011793671922
total_history,ETTm2,96,960,0.1717818813821497,0.26266903889878557,1005261.0,3,0.175459243027235,0.2638671479644675,1004013.0,-2.0958494871167854,-0.45405768581818773,0.1243011793671922
