dataset,pred_len,seed,comparison,baseline_mse,dhc_mse,mse_improvement_pct,baseline_mae,dhc_mae,mae_improvement_pct
ETTh1,720,2022,dhc_vs_raw336,0.6683874974246906,0.5087986627724173,23.876693574785897,0.6036607760816637,0.4879003715356825,19.17639991410027
ETTh1,720,2023,dhc_vs_recent96,0.5068976857933415,0.502143252136612,0.9379473984554348,0.48723376263818624,0.4999898074342098,-2.618054366133085
ETTh1,720,2023,dhc_vs_raw336,0.6051297518529675,0.502143252136612,17.018911960782052,0.5648858941515582,0.4999898074342098,11.488353203582896
ETTh2,96,2021,dhc_vs_recent96,0.28761615894223375,0.2888973704890287,-0.44545881966676004,0.33940871759613445,0.3445803930242316,-1.5237308766626847
ETTh2,96,2021,dhc_vs_raw336,0.31054493317983595,0.2888973704890287,6.970831070771712,0.36600970173428343,0.3445803930242316,5.854847182605321
ETTh2,96,2022,dhc_vs_recent96,0.28953479986328584,0.2828307107033623,2.315469215821075,0.3405768910401742,0.33961952402213197,0.28110157888818443
ETTh2,96,2022,dhc_vs_raw336,0.32413501406853307,0.2828307107033623,12.742931671194784,0.37398900575614175,0.33961952402213197,9.189971150226881
ETTh2,96,2023,dhc_vs_recent96,0.284218271208531,0.27831747454639744,2.0761496567559306,0.3376343202864073,0.3371920097176923,0.13100284601984882
ETTh2,96,2023,dhc_vs_raw336,0.3106965292556944,0.27831747454639744,10.421440750195806,0.3676112263449504,0.3371920097176923,8.274833423806822
ETTh2,192,2021,dhc_vs_recent96,0.36840516712074084,0.3568054449438139,3.148631781574678,0.3941282314965334,0.39001907964791305,1.0425926184017893
ETTh2,192,2021,dhc_vs_raw336,0.3782876288015383,0.3568054449438139,5.678796297352528,0.40388924140459326,0.39001907964791305,3.4341498447555505
ETTh2,192,2022,dhc_vs_recent96,0.36305100317135947,0.3516041428496179,3.152962041627711,0.39015944669590735,0.3861513488928418,1.0272973875189757
ETTh2,192,2022,dhc_vs_raw336,0.3894518209948953,0.3516041428496179,9.718192624851916,0.41527434703734556,0.3861513488928418,7.0129538104805516
ETTh2,192,2023,dhc_vs_recent96,0.3663579856387387,0.3545123370175204,3.2333534645261413,0.3922070260868607,0.38820488225888283,1.0204161480502203
ETTh2,192,2023,dhc_vs_raw336,0.3771010131706234,0.3545123370175204,5.990086306896905,0.4031703331836589,0.38820488225888283,3.7119424950244957
ETTh2,336,2021,dhc_vs_recent96,0.4207849516762228,0.38929751924502765,7.48302245737711,0.42974613593941074,0.4175312801525402,2.8423422028377914
ETTh2,336,2021,dhc_vs_raw336,0.4323484092318712,0.38929751924502765,9.957453078948435,0.4329506430545554,0.4175312801525402,3.5614597528319663
ETTh2,336,2022,dhc_vs_recent96,0.4222105009803116,0.3892540478170083,7.805692441751971,0.42894128217952443,0.41570354545434907,3.086141920850366
ETTh2,336,2022,dhc_vs_raw336,0.4255730898985734,0.3892540478170083,8.53414911413243,0.4351997594816932,0.41570354545434907,4.479831066672327
ETTh2,336,2023,dhc_vs_recent96,0.4286245891867307,0.39219710961309445,8.498691044009743,0.43274012287080194,0.41784931721904056,3.44105038214983
