dataset,window,variable,alpha,base_mse,direct_mse,direct_improvement_pct,corrected_mse,corrected_improvement_pct
ETTm1,95,HULL,0.03055522414780799,1.1801491330313298,1.488120770630603,-26.095993207927673,1.1791858696318525,0.08162217575020796
ETTm1,95,MUFL,0.014361695470517173,0.7795174696118143,6.153241609409971,-689.3654535380938,0.7787688299145209,0.09603886076680869
ETTm1,95,MULL,-0.039109257744248935,1.0921102655222745,1.409841909610393,-29.093366679066158,1.0923348264913795,-0.020562115034928
ETTm1,95,LUFL,0.015381099025470564,1.4368770271874212,2.003529853256648,-39.436417685541755,1.437198136808405,-0.022347745486084463
ETTm1,95,LULL,0.11245019068239495,1.323951711215295,1.423500115828133,-7.519035911170779,1.320636724196433,0.2503857950996633
ETTm1,95,OT,-0.31917138307131043,0.13301549104352656,0.19188075090611323,-44.25443938956271,0.12937919354121877,2.7337398627637186
ETTm2,7,HUFL,-0.029432873211928716,0.36754791035213324,0.3831647835101439,-4.248935368194236,0.3675308430001792,0.004643572027849966
ETTm2,7,HULL,0.651002405473513,0.38045202247273374,0.3778510916040582,0.6836422768292486,0.3758531487114975,1.208792039360452
ETTm2,7,MUFL,0.08186368915048439,0.11360935364062236,0.11818529616685042,-4.027786779513794,0.11360769811491296,0.0014572089853030496
ETTm2,7,MULL,0.28187078269212634,0.5516064124147011,0.5631964204896435,-2.101137299003865,0.5500588451109757,0.2805564382311667
ETTm2,7,LUFL,0.09169597052164251,0.39584085801268876,0.40033827499043434,-1.136167954042131,0.3956928804243262,0.0373831011547078
ETTm2,7,LULL,0.31444725013104047,0.016822834228663118,0.017045353618661194,-1.322722360415006,0.01672824171973259,0.562286399811028
ETTm2,7,OT,-0.4428084447748972,0.26017937803274205,0.2696826794743824,-3.652595956488304,0.2592910133746271,0.3414431477359942
ETTm2,13,HUFL,-0.0375722118225347,0.36754791035213324,0.374136294706354,-1.792523959096569,0.3675506493389317,-0.0007452053790359677
ETTm2,13,HULL,0.8284291511275783,0.38045202247273374,0.37753011172933765,0.7680103063732568,0.37729304184167217,0.8303229959272901
ETTm2,13,MUFL,0.06514400544669306,0.11360935364062236,0.11564014523808193,-1.7875214781025202,0.11360705129804197,0.0020265431556571014
