model,dataset,horizon,seed,seq_len,validation_mse,validation_mae,test_mse,test_mae,quality,duration_seconds,result_source
iTransformer,ETTm1,720,2021,336,0.9561944238989206,0.6462349813885913,0.44495201110839844,0.4397766590118408,valid,35.3,q2_same_protocol_local_run
iTransformer,ETTm2,96,2021,336,0.1305554463329993,0.2514985306531026,0.17330797016620636,0.2650103271007538,valid,39.059,q2_same_protocol_local_run
iTransformer,ETTm2,192,2021,336,0.17695431775851816,0.29508840762712396,0.24426382780075073,0.31159642338752747,valid,33.35,q2_same_protocol_local_run
iTransformer,ETTm2,336,2021,336,0.22247926217164546,0.32924411495466815,0.2972615957260132,0.3466743230819702,valid,34.297,q2_same_protocol_local_run
iTransformer,ETTm2,720,2021,336,0.27724886892413925,0.3591572899226795,0.37405216693878174,0.39334094524383545,valid,35.402,q2_same_protocol_local_run
iTransformer,weather,96,2021,336,0.402192371299082,0.28467903127261496,0.16355760395526886,0.2119157910346985,valid,42.52,q2_same_protocol_local_run
iTransformer,weather,192,2021,336,0.4770378677623338,0.3336970689265972,0.2086935192346573,0.2527061402797699,valid,43.326,q2_same_protocol_local_run
iTransformer,weather,336,2021,336,0.556825428280587,0.39085224725839973,0.25829485058784485,0.2920580804347992,valid,44.773,q2_same_protocol_local_run
iTransformer,weather,720,2021,336,0.6469104680137454,0.4450769586618958,0.3310092091560364,0.33982956409454346,valid,47.444,q2_same_protocol_local_run
TimeMixer,ETTh1,96,2021,336,0.7490191658511165,0.5846360129882834,0.38493984937667847,0.4061504006385803,valid,103.605,q2_same_protocol_local_run
TimeMixer,ETTh1,192,2021,336,1.060863538715483,0.6880194326688299,0.4150616526603699,0.42490729689598083,valid,104.668,q2_same_protocol_local_run
TimeMixer,ETTh1,336,2021,336,1.3255401980444683,0.7912902007331051,0.43807682394981384,0.44383543729782104,valid,104.765,q2_same_protocol_local_run
TimeMixer,ETTh1,720,2021,336,1.7413729641121836,0.9201138921942369,0.7437260150909424,0.5983463525772095,valid,89.717,q2_same_protocol_local_run
TimeMixer,ETTh2,96,2021,336,0.23132076433013318,0.334736995553526,0.28597375750541687,0.3493165671825409,valid,107.931,q2_same_protocol_local_run
TimeMixer,ETTh2,192,2021,336,0.34206619543719247,0.3947978819298384,0.3677070438861847,0.4038141071796417,valid,103.213,q2_same_protocol_local_run
TimeMixer,ETTh2,336,2021,336,0.42401320958608146,0.4376514815198243,0.38235071301460266,0.4165518581867218,valid,101.955,q2_same_protocol_local_run
TimeMixer,ETTh2,720,2021,336,0.7139203983673187,0.5894662560116017,0.4374283254146576,0.4550321102142334,valid,97.585,q2_same_protocol_local_run
TimeMixer,ETTm1,96,2021,336,0.38058247867320694,0.4088560644835249,0.30159831047058105,0.349991112947464,valid,424.64,q2_same_protocol_local_run
TimeMixer,ETTm1,192,2021,336,0.4890477333576172,0.46166113918750146,0.3413430154323578,0.37651681900024414,valid,407.469,q2_same_protocol_local_run
TimeMixer,ETTm1,336,2021,336,0.6346446168850867,0.5271160768899018,0.37153682112693787,0.39279821515083313,valid,425.117,q2_same_protocol_local_run
TimeMixer,ETTm1,720,2021,336,0.9859117084502574,0.6542456274372193,0.4286162257194519,0.4283865988254547,valid,435.657,q2_same_protocol_local_run
TimeMixer,ETTm2,96,2021,336,0.12202127609996233,0.24033593666408165,0.1708703637123108,0.2605491578578949,valid,450.776,q2_timemixer_stability_summary
TimeMixer,ETTm2,192,2021,336,0.16362010497198343,0.27753441990845135,0.23262719810009003,0.3028316795825958,valid,443.954,q2_timemixer_stability_summary
TimeMixer,ETTm2,336,2021,336,0.2078662798500463,0.3110807691986048,0.28434112668037415,0.33843499422073364,valid,433.729,q2_timemixer_stability_summary
TimeMixer,ETTm2,720,2021,336,0.26912240839227985,0.35474131919759966,0.35973840951919556,0.3862096965312958,valid,427.047,q2_timemixer_stability_summary
TimeMixer,weather,96,2021,336,0.3810520952960555,0.269904785062645,0.14783917367458344,0.1977566033601761,valid,1330.148,q2_timemixer_stability_summary
TimeMixer,weather,192,2021,336,0.4498163969445216,0.3194759582069937,0.1949436068534851,0.2432173639535904,valid,1515.649,q2_timemixer_stability_summary
TimeMixer,weather,336,2021,336,0.5189284960886795,0.3673547830537779,0.2414870411157608,0.2814638018608093,valid,897.339,q2_timemixer_stability_summary
