factor,dataset,horizon,seed,seq_len,recent_len,pool,mse,mae,parameter_count,record
history,ETTm2,720,2022,720,96,16,0.27574562810743153,0.35758489205632094,6836685,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h720_l720_r96_p16_s2022.json
history,ETTm2,720,2022,960,96,16,0.2829823049652865,0.36973791086656027,6837165,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_ettm2_h720_l960_r96_p16_s2022.json
history,weather,96,2022,192,96,16,0.38744080745865805,0.26905958504593086,1004775,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h96_l192_r96_p16_s2022.json
history,weather,96,2022,336,96,16,0.38120108622640253,0.2671191067399811,1005063,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h96_l336_r96_p16_s2022.json
history,weather,96,2022,720,96,16,0.3780336258640118,0.26964927835393543,1005831,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h96_l720_r96_p16_s2022.json
history,weather,96,2022,960,96,16,0.3721147237783122,0.266285274491867,1006311,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h96_l960_r96_p16_s2022.json
history,weather,720,2022,192,96,16,0.6648728325541715,0.45245540567925285,6836679,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h720_l192_r96_p16_s2022.json
history,weather,720,2022,336,96,16,0.6443018582516169,0.4404330302100881,6836967,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h720_l336_r96_p16_s2022.json
history,weather,720,2022,720,96,16,0.5967269798880254,0.4139055558898039,6837735,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h720_l720_r96_p16_s2022.json
history,weather,720,2022,960,96,16,0.5871791179972075,0.40892589812337016,6838215,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_history_weather_h720_l960_r96_p16_s2022.json
recent,ETTm1,96,2022,336,48,16,0.3726173760129025,0.40410246950519,555597,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm1_h96_l336_r48_p16_s2022.json
recent,ETTm1,96,2022,336,192,16,0.3638636684944397,0.3965909571169167,1900845,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm1_h96_l336_r192_p16_s2022.json
pool,ETTm1,96,2022,336,96,8,0.3687803647338543,0.40269275178757263,1004493,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm1_h96_l336_r96_p8_s2022.json
pool,ETTm1,96,2022,336,96,24,0.3715628098422964,0.4029429656753469,1003853,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm1_h96_l336_r96_p24_s2022.json
recent,ETTm1,720,2022,336,48,16,0.946304270722655,0.6421198306566632,3482157,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm1_h720_l336_r48_p16_s2022.json
recent,ETTm1,720,2022,336,192,16,0.9401132306066329,0.6378456012986516,13543437,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm1_h720_l336_r192_p16_s2022.json
pool,ETTm1,720,2022,336,96,8,0.9342471227713245,0.6370111333546975,6836397,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm1_h720_l336_r96_p8_s2022.json
pool,ETTm1,720,2022,336,96,24,0.9335549148555377,0.6378383787203988,6835757,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm1_h720_l336_r96_p24_s2022.json
recent,ETTm2,96,2022,336,48,16,0.1248945531619518,0.24521746929677884,555597,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm2_h96_l336_r48_p16_s2022.json
recent,ETTm2,96,2022,336,192,16,0.1224161760407313,0.2425862660675828,1900845,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm2_h96_l336_r192_p16_s2022.json
pool,ETTm2,96,2022,336,96,8,0.12488589284667699,0.24411222308628805,1004493,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm2_h96_l336_r96_p8_s2022.json
pool,ETTm2,96,2022,336,96,24,0.126182710634764,0.24576820212552308,1003853,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_pool_ettm2_h96_l336_r96_p24_s2022.json
recent,ETTm2,720,2022,336,48,16,0.2860611550345592,0.368864495872778,3482157,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm2_h720_l336_r48_p16_s2022.json
recent,ETTm2,720,2022,336,192,16,0.26840025888450675,0.3531765447093789,13543437,/home/cwh/Time-Series-Library/logs/timerole_p0/sensitivity/records/sensitivity_recent_ettm2_h720_l336_r192_p16_s2022.json
