dataset,horizon,variant,variant_label,seed,validation_best_mse,validation_best_mae,test_mse,test_mae,result_source,test_access
ETTm1,720,full,TimeRole (Full),2023,0.9369639221348645,0.6386862010395403,0.4316699206829071,0.4296061396598816,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,720,no_dhc,w/o DHC,2021,0.9711080876642081,0.6596722059413728,0.45931142568588257,0.4483174681663513,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,720,no_dhc,w/o DHC,2022,0.9635965826014328,0.6567405328476713,0.4638427793979645,0.4511581063270569,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,720,no_dhc,w/o DHC,2023,0.9682098827781139,0.6573818659076155,0.4577510952949524,0.4476492702960968,protocol_matched_frozen_record,reused_frozen_test_record
ETTm1,720,no_decomp,w/o Decomposition,2021,0.9273094056368835,0.6364553761829147,0.42782229591371745,0.4273739219685025,,one_shot_after_validation_selection
ETTm1,720,no_decomp,w/o Decomposition,2022,0.9327271124027523,0.6405121977767229,0.4230670820809117,0.4257042010567391,,one_shot_after_validation_selection
ETTm1,720,no_decomp,w/o Decomposition,2023,0.9283747182410175,0.6385609081108309,0.42409099271349754,0.4264449453327183,,one_shot_after_validation_selection
ETTm1,720,no_patch,w/o Patch,2021,0.9455406068715461,0.6417858272602625,0.45016719379224607,0.43862211460535416,,one_shot_after_validation_selection
ETTm1,720,no_patch,w/o Patch,2022,0.9350939339596486,0.6369422650919301,0.4332490359433462,0.42957878101300606,,one_shot_after_validation_selection
ETTm1,720,no_patch,w/o Patch,2023,0.9435618632207959,0.6411636072349589,0.43329169129804584,0.43168297940496947,,one_shot_after_validation_selection
ETTm1,720,no_mamba,w/o Mamba,2021,0.9410602316843343,0.6369908304779132,0.4212538177991952,0.4215082562293523,,one_shot_after_validation_selection
ETTm1,720,no_mamba,w/o Mamba,2022,0.9389242544288319,0.6358768518124333,0.42273801550866147,0.42139397491062613,,one_shot_after_validation_selection
ETTm1,720,no_mamba,w/o Mamba,2023,0.9382570690766686,0.63560144721774,0.4224873050089723,0.4215435216679902,,one_shot_after_validation_selection
