model,dataset,horizon,n_seeds,seeds,quality,diverged_seeds,test_mse_mean,test_mse_std,mse_rank,test_mae_mean,test_mae_std,mae_rank
TimesNet,ETTh2,336,3,2021;2022;2023,valid,,0.4071680009365082,0.009870470528168142,5,0.4433433512846629,0.004572585195103317,6
SMamba,ETTh2,336,3,2021;2022;2023,valid,,0.39345114429791767,0.003318324235441273,3,0.42012407382329303,0.002357385223495785,3
MSGNet,ETTh2,336,3,2021;2022;2023,valid,,0.39972057938575745,0.015686262631413456,4,0.4368145565191905,0.01149731012871976,5
TimeRole,ETTh2,336,3,2021;2022;2023,valid,,0.37516135970751446,0.0036556564518367544,1,0.41298096378644306,0.005469861270510348,1
DLinear,ETTh2,720,3,2021;2022;2023,valid,,0.7512960632642111,0.008772013010407214,8,0.6154401501019796,0.00398105851134369,8
PatchTST,ETTh2,720,3,2021;2022;2023,valid,,0.46264023582140607,0.026617878056180492,7,0.4751162926355998,0.014150712677523781,7
iTransformer,ETTh2,720,3,2021;2022;2023,valid,,0.4236280620098114,0.009173693694589077,2,0.4472133119901021,0.005427785357365243,2
TimeMixer,ETTh2,720,3,2021;2022;2023,valid,,0.4255194365978241,0.011197560322661924,3,0.4508337477842967,0.004841636446670406,3
TimesNet,ETTh2,720,3,2021;2022;2023,valid,,0.4259326756000519,0.011093075609777426,4,0.45552267630894977,0.004760175683026066,4
SMamba,ETTh2,720,3,2021;2022;2023,valid,,0.41849780082702637,0.003054455639997159,1,0.44527048865954083,0.000976904734426616,1
MSGNet,ETTh2,720,3,2021;2022;2023,valid,,0.4443359971046448,0.013426191673995117,5,0.4638308684031169,0.003493812403522027,6
TimeRole,ETTh2,720,3,2021;2022;2023,valid,,0.44851436217625934,0.027888975915970733,6,0.4622654616832733,0.014904099685256371,5
DLinear,ETTm1,96,3,2021;2022;2023,valid,,0.3003072539965312,0.000557512120844889,2,0.3444138964017232,0.0007695825407745334,1
PatchTST,ETTm1,96,3,2021;2022;2023,valid,,0.317163348197937,0.011671335006650543,6,0.36630430817604065,0.0071994885380007295,6
iTransformer,ETTm1,96,3,2021;2022;2023,valid,,0.3048407236735026,0.00153396931328707,4,0.35828181107838947,0.0012050204655577321,4
TimeMixer,ETTm1,96,3,2021;2022;2023,numerically_unstable,2023,,,,,,
TimesNet,ETTm1,96,3,2021;2022;2023,valid,,0.32348231474558514,0.009151495394553002,7,0.36983612179756165,0.005442476729147037,7
SMamba,ETTm1,96,3,2021;2022;2023,valid,,0.30114038785298664,0.0005705609604833185,3,0.35569122433662415,0.0009625451416715263,3
MSGNet,ETTm1,96,3,2021;2022;2023,valid,,0.3089794913927714,0.003905188306956442,5,0.3629258871078491,0.0003180908798144786,5
TimeRole,ETTm1,96,3,2021;2022;2023,valid,,0.29797014594078064,0.002611815375962457,1,0.35167892773946124,0.002558497289268181,2
DLinear,ETTm1,192,3,2021;2022;2023,valid,,0.3343677719434102,0.00021242132138403296,2,0.3643525342146556,0.0002844127365871728,1
PatchTST,ETTm1,192,3,2021;2022;2023,valid,,0.35178719957669574,0.008379934329030862,6,0.3860215445359548,0.001998897891017043,6
iTransformer,ETTm1,192,3,2021;2022;2023,valid,,0.3440086940924327,0.0028257108848504095,4,0.38148051500320435,0.001524894813376847,4
TimeMixer,ETTm1,192,3,2021;2022;2023,valid,,0.3386203447977702,0.0037490095863161373,3,0.3745808204015096,0.002714463399127835,3
TimesNet,ETTm1,192,3,2021;2022;2023,valid,,0.38170082370440167,0.01769361785491025,8,0.3987458348274231,0.009366056983714791,8
SMamba,ETTm1,192,3,2021;2022;2023,valid,,0.34424137075742084,0.00024164754056296787,5,0.38254164656003314,0.0003832847523274948,5
MSGNet,ETTm1,192,3,2021;2022;2023,valid,,0.3557873070240021,0.0059448653691499195,7,0.39263729254404706,0.0044370847986318004,7
TimeRole,ETTm1,192,3,2021;2022;2023,valid,,0.3331284821033478,0.0012750655134705806,1,0.37407084306081134,0.0005473342938640558,2
DLinear,ETTm1,336,3,2021;2022;2023,valid,,0.36989415685335797,0.0011166969160876154,2,0.3867411216100057,0.002006867731509037,1
PatchTST,ETTm1,336,3,2021;2022;2023,valid,,0.3946558932463328,0.016476729120407194,6,0.41767091552416485,0.009070715053313218,8
iTransformer,ETTm1,336,3,2021;2022;2023,valid,,0.3796233932177226,0.0015782194483103702,4,0.40300126870473224,0.001157422645427658,4
TimeMixer,ETTm1,336,3,2021;2022;2023,valid,,0.4044501880804698,0.040240738130196366,8,0.415178914864858,0.024629738895346986,7
TimesNet,ETTm1,336,3,2021;2022;2023,valid,,0.4006188015143077,0.018521318846449815,7,0.4142770667870839,0.008207847994823573,6
SMamba,ETTm1,336,3,2021;2022;2023,valid,,0.377483993768692,0.0006401866582787156,3,0.40265458822250366,0.0008407012142851561,3
MSGNet,ETTm1,336,3,2021;2022;2023,valid,,0.3889833788077037,0.002402856947855089,5,0.41191590825716656,0.0027003141717865087,5
