dataset,graph_alpha,variable,correction,base_mse,corrected_mse,corrected_improvement_pct
ETTm2,0.75,1,1.8220076330838468,0.38045202247273374,0.38041982368597943,0.008463297565100806
ETTm2,0.75,2,3.0075202812817703,0.11360935364062236,0.11176065025904312,1.627245752517166
ETTm2,0.75,3,-3.4006116613310806,0.5516064124147011,0.5505125036988132,0.198313270344195
ETTm2,0.75,4,3.730547616195516,0.39584085801268876,0.39193261289021075,0.9873273673918534
ETTm2,0.75,5,-1.298944550840964,0.016822834228663118,0.01679257940114375,0.17984381887221207
ETTm2,0.75,6,-2.58249920955036,0.26017937803274205,0.2588345457248823,0.5168865872569334
ETTm2,1.0,0,0.45105976834676076,0.36754791035213324,0.36751060506618805,0.010149775007415688
ETTm2,1.0,1,1.5311616634386773,0.38045202247273374,0.3803088043795598,0.037644192884855335
ETTm2,1.0,2,1.4702432530567318,0.11360935364062236,0.11175345989386715,1.6335747782052463
ETTm2,1.0,3,-1.7593852688339047,0.5516064124147011,0.5504685042687579,0.20628986906839672
ETTm2,1.0,4,1.9430370676231132,0.39584085801268876,0.3917908128769289,1.023149847666818
ETTm2,1.0,5,-0.6529219408109245,0.016822834228663118,0.01679397165804638,0.17156782397321746
ETTm2,1.0,6,-1.2312381383407862,0.26017937803274205,0.2590788580860531,0.42298507860622125
